# Every deviation from the EVA Admin 2019 release, declared.
#
# Format, tab separated:
#   STATUS<TAB>PATH<TAB>MILESTONE<TAB>REASON
#
# STATUS
#   MODIFIED    a release file whose content differs from manifest/originals.sha
#   DELETED     a release file that is no longer present
#   ADDED       a file that is not part of the release
#   GENERATED   an added file produced by a tool, regenerable, not hand-edited
#   ADDED_TREE  a directory of our own scaffolding; every file under it counts as
#               ADDED. Rejected if it overlaps any release path, so it can never
#               be used to hide an edit to EVA Admin source.
#
# MILESTONE is M0 (setup), M1..M4, or the milestone the change belongs to.
# REASON must say why, not what. "Fixed web.xml" is not a reason.
#
# Verified by tools/manifest-check.sh, which runs as a pre-commit hook.
# See docs/decisions/D002-changes-in-place-with-manifest.md

MODIFIED	readme.md	M0	Repo owner recorded which modules are missing from the release, before this control system existed. Baseline for this file is therefore the untouched 2017 import.

ADDED	added-stuff/README.md	M0	2019-2020 notes from the first attempt to build and deploy: docker commands tried and the errors they produced. Kept as evidence, superseded by tools/ and docs/findings/.
ADDED	added-stuff/jboss/Dockerfile	M0	WildFly 17 image built during that first attempt.
ADDED	added-stuff/jboss/start.sh	M0	Deployment script from that first attempt; copies the built WARs into WildFly.

ADDED	.gitignore	M0	The release shipped without one. Keeps build output and bulky reference material out of the manifest check.
ADDED	CLAUDE.md	M0	Operating instructions for AI agents working this repo.

ADDED_TREE	manifest	M0	The control that makes in-place changes traceable: baseline definition, generated checksums, and this declaration file.
ADDED_TREE	tools	M0	Dockerised build toolchain, manifest and docs checks, git hook. Nothing here touches EVA Admin source.
ADDED_TREE	docs	M0	Status, decisions, findings, work queue, specs and reference index.
ADDED_TREE	docker	M0	PostgreSQL on the coordinates the release expects, for M2 onwards.

GENERATED	docker/postgres/initdb/01-schema-generated.sql	M2	PostgreSQL DDL derived from the release's 120 @Entity classes by tools/schema-export. Regenerate with tools/schema-export/generate.sh; never hand-edit. The release ships no schema and the Flyway migrations were withheld (NF-007).

# --- M2: making admin-backend deployable -------------------------------------
MODIFIED	admin/admin-backend/src/main/webapp/WEB-INF/web.xml	M2	Released as a single comment line with no root element, so WildFly fails the deployment at PARSE with "Unexpected EOF in prolog". Replaced by an empty web-app 3.1 shell: this WAR holds EJBs and no servlets of its own. Same shell that made the backend start on origin/attempt. NF-004.

GENERATED	admin/admin-backend/src/main/resources/META-INF/persistence.xml	M2	The runtime persistence unit the release does not ship; all nine of its persistence.xml files are test-scoped. Without it: "Can't find a persistence unit named 'evotePU'". Unit name and java:/jdbc/evote both recovered from the release source, entity list derived from the 120 @Entity classes. Regenerate with tools/generate-persistence-xml.sh. NF-006.

ADDED	admin/admin-backend/src/main/webapp/WEB-INF/jboss-deployment-structure.xml	M2	WildFly exposes only javax.persistence to a deployment, but EVA Admin's repositories use org.hibernate.Session and org.hibernate.jdbc.Work directly, so Weld refused to define the entire repository layer as beans. Adds the org.hibernate module dependency. NF-017.

ADDED	admin/admin-backend/src/main/resources/log4j.xml	M2	Log4jUtil.configureFromClasspathConfig looks up log4j.xml on the classpath and throws "Unable to find log4j.xml on classpath" without it, taking down Log4jConfigurator. Copied verbatim from the release's own admin-backend test resources. NF-018.
ADDED	admin/admin-backend/src/main/resources/log4j.dtd	M2	Referenced by the DOCTYPE of the log4j.xml above; copied from the same place in the release. NF-018.
ADDED	admin/admin-backend/src/main/resources/version.properties	M2	CommitIdProducer reads /version.properties at startup and throws without it. Not invented: admin-backend/pom.xml runs git-commit-id-plugin and filters src/main/resources, so the release had this file and it was stripped. Uses the plugin's own ${git.commit.id}. NF-018.

# beans.xml, one per bean archive. The release ships none, leaving every archive
# an implicit bean archive, which under CDI 1.1 only discovers classes with a
# bean-defining annotation -- and most EVA Admin services have none. See D010.
ADDED	admin/admin-common/src/main/resources/META-INF/beans.xml	M2	bean-discovery-mode=all, so constructor-injected services are discovered. NF-005.
ADDED	admin/admin-integration/src/main/resources/META-INF/beans.xml	M2	bean-discovery-mode=all, so constructor-injected services are discovered. NF-005.
ADDED	admin/admin-voting/src/main/resources/META-INF/beans.xml	M2	bean-discovery-mode=all, so constructor-injected services are discovered. NF-005.
ADDED	admin/admin-backend-common/src/main/resources/META-INF/beans.xml	M2	bean-discovery-mode=all, so constructor-injected services are discovered. NF-005.
ADDED	admin/admin-configuration/src/main/resources/META-INF/beans.xml	M2	bean-discovery-mode=all, so constructor-injected services are discovered. NF-005.
ADDED	admin/admin-counting/src/main/resources/META-INF/beans.xml	M2	bean-discovery-mode=all, so constructor-injected services are discovered. NF-005.
ADDED	admin/admin-rbac/src/main/resources/META-INF/beans.xml	M2	bean-discovery-mode=all, so constructor-injected services are discovered. NF-005.
